MESEC	DAN V MESECU	Umrli
2003M07	25	47
2003M07	26	51
2003M07	27	48
2003M07	28	60
2003M07	29	38
2003M07	30	51
2003M07	31	57
2003M08	1	44
2003M08	2	48
2003M08	3	61
2003M08	4	40
2003M08	5	62
2003M08	6	52
2003M08	7	47
2003M08	8	48
2003M08	9	48
2003M08	10	43
2003M08	11	61
2003M08	12	60
2003M08	13	55
2003M08	14	57
2003M08	15	52
2003M08	16	53
2003M08	17	62
2003M08	18	57
2003M08	19	48
2003M08	20	67
2003M08	21	59
2003M08	22	34
2003M08	23	54
2003M08	24	50
2003M08	25	60
2003M08	26	43
2003M08	27	38
2003M08	28	44
2003M08	29	41
2003M08	30	61
2003M08	31	48
2003M09	1	45
2003M09	2	42
2003M09	3	46
2003M09	4	53
2003M09	5	44
2003M09	6	51
2003M09	7	49
2003M09	8	39
2003M09	9	54
2003M09	10	73
2003M09	11	38
2003M09	12	47
2003M09	13	53
2003M09	14	45
2003M09	15	52
2003M09	16	54
2003M09	17	62
2003M09	18	46
2003M09	19	59
2003M09	20	58
2003M09	21	62
2003M09	22	51
2003M09	23	55
2003M09	24	51
2003M09	25	46
2003M09	26	46
2003M09	27	53
2003M09	28	58
2003M09	29	45
2003M09	30	41
2003M09	31	-
2003M10	1	46
2003M10	2	54
2003M10	3	46
2003M10	4	53
2003M10	5	68
2003M10	6	50
2003M10	7	47
2003M10	8	57
2003M10	9	51
2003M10	10	50
2003M10	11	54
2003M10	12	51
2003M10	13	47
2003M10	14	32
2003M10	15	50
2003M10	16	38
2003M10	17	45
2003M10	18	63
2003M10	19	56
2003M10	20	48
2003M10	21	51
2003M10	22	59
2003M10	23	52
2003M10	24	42
2003M10	25	53
2003M10	26	59
2003M10	27	68
2003M10	28	50
2003M10	29	56
2003M10	30	46
2003M10	31	60
2003M11	1	51
2003M11	2	53
2003M11	3	55
2003M11	4	74
2003M11	5	51
2003M11	6	47
2003M11	7	31
2003M11	8	58
2003M11	9	69
2003M11	10	53
2003M11	11	54
2003M11	12	49
2003M11	13	46
2003M11	14	39
2003M11	15	45
2003M11	16	49
2003M11	17	60
2003M11	18	54
2003M11	19	40
2003M11	20	39
2003M11	21	52
2003M11	22	53
2003M11	23	43
2003M11	24	52
2003M11	25	40
2003M11	26	49
2003M11	27	48
2003M11	28	55
2003M11	29	51
2003M11	30	40
2003M11	31	-
2003M12	1	57
2003M12	2	49
2003M12	3	51
2003M12	4	45
2003M12	5	51
2003M12	6	49
2003M12	7	48
2003M12	8	56
2003M12	9	55
2003M12	10	60
2003M12	11	63
2003M12	12	59
2003M12	13	57
2003M12	14	51
2003M12	15	69
2003M12	16	44
2003M12	17	46
2003M12	18	52
2003M12	19	58
2003M12	20	66
2003M12	21	52
2003M12	22	48
2003M12	23	59
2003M12	24	71
2003M12	25	51
2003M12	26	48
2003M12	27	52
2003M12	28	63
2003M12	29	65
2003M12	30	70
2003M12	31	56
2004M01	1	64
2004M01	2	51
2004M01	3	61
2004M01	4	57
2004M01	5	64
2004M01	6	55
2004M01	7	56
2004M01	8	57
2004M01	9	55
2004M01	10	57
2004M01	11	63
2004M01	12	67
2004M01	13	80
2004M01	14	44
2004M01	15	63
2004M01	16	73
2004M01	17	67
2004M01	18	61
2004M01	19	58
2004M01	20	62
2004M01	21	59
2004M01	22	54
2004M01	23	59
2004M01	24	67
2004M01	25	65
2004M01	26	83
2004M01	27	70
2004M01	28	66
2004M01	29	68
2004M01	30	57
2004M01	31	53
2004M02	1	58
2004M02	2	48
2004M02	3	56
2004M02	4	63
2004M02	5	82
2004M02	6	69
2004M02	7	58
2004M02	8	61
2004M02	9	58
2004M02	10	59
2004M02	11	68
2004M02	12	51
2004M02	13	52
2004M02	14	67
2004M02	15	59
2004M02	16	59
2004M02	17	62
2004M02	18	46
2004M02	19	51
2004M02	20	55
